timestamp,vmim_name,vmim_phase,data_processed_bytes,data_remaining_bytes,memory_transfer_rate_bytes,migrations_in_running_phase,migrations_in_pending_phase,vmi_phase,vmi_nodeName
2026-09-11T14:37:46+01:00,kubevirt-migrate-vm-vt94m,Pending,NaN,NaN,NaN,0,0,Running,ec-f4-bb-ed-07-a8
2026-09-11T14:37:52+01:00,kubevirt-migrate-vm-vt94m,Scheduling,NaN,NaN,NaN,0,0,Running,ec-f4-bb-ed-07-a8
2026-09-11T14:37:59+01:00,kubevirt-migrate-vm-vt94m,PreparingTarget,NaN,NaN,NaN,1,0,Running,ec-f4-bb-ed-07-a8
2026-09-11T14:38:11+01:00,kubevirt-migrate-vm-vt94m,PreparingTarget,NaN,NaN,NaN,1,0,Running,ec-f4-bb-ed-07-a8
2026-09-11T14:38:19+01:00,kubevirt-migrate-vm-vt94m,Running,NaN,NaN,NaN,1,0,Running,ec-f4-bb-ed-07-a8
2026-09-11T14:38:25+01:00,kubevirt-migrate-vm-vt94m,Running,NaN,NaN,NaN,1,0,Running,ec-f4-bb-ed-07-a8
2026-09-11T14:38:31+01:00,kubevirt-migrate-vm-vt94m,Running,NaN,NaN,NaN,1,0,Running,24-6e-96-33-24-90
2026-09-11T14:38:36+01:00,kubevirt-migrate-vm-vt94m,Succeeded,NaN,NaN,NaN,0,0,Running,24-6e-96-33-24-90
2026-09-11T14:38:44+01:00,kubevirt-migrate-vm-vt94m,Succeeded,NaN,NaN,NaN,0,0,Running,24-6e-96-33-24-90
2026-09-11T14:38:53+01:00,kubevirt-migrate-vm-vt94m,Succeeded,889836348,0,NaN,0,0,Running,24-6e-96-33-24-90
2026-09-11T14:38:59+01:00,kubevirt-migrate-vm-vt94m,Succeeded,889836348,0,NaN,0,0,Running,24-6e-96-33-24-90
2026-09-11T14:39:08+01:00,kubevirt-migrate-vm-vt94m,Succeeded,889836348,0,NaN,0,0,Running,24-6e-96-33-24-90
2026-09-11T14:39:13+01:00,kubevirt-migrate-vm-vt94m,Succeeded,889836348,0,NaN,0,0,Running,24-6e-96-33-24-90
2026-09-11T14:39:21+01:00,kubevirt-migrate-vm-vt94m,Succeeded,889836348,0,NaN,0,0,Running,24-6e-96-33-24-90
2026-09-11T14:39:27+01:00,kubevirt-migrate-vm-vt94m,Succeeded,889836348,0,NaN,0,0,Running,24-6e-96-33-24-90
2026-09-11T14:39:36+01:00,kubevirt-migrate-vm-vt94m,Succeeded,889836348,0,NaN,0,0,Running,24-6e-96-33-24-90
2026-09-11T14:39:41+01:00,kubevirt-migrate-vm-vt94m,Succeeded,889836348,0,NaN,0,0,Running,24-6e-96-33-24-90
2026-09-11T14:40:04+01:00,kubevirt-migrate-vm-vt94m,Succeeded,889836348,0,NaN,0,0,Running,24-6e-96-33-24-90
