LAST SEEN   TYPE      REASON                  OBJECT                                               MESSAGE
6m17s       Normal    Scheduled               pod/netobserv-plugin-698cb544d5-47hkz                Successfully assigned netobserv/netobserv-plugin-698cb544d5-47hkz to 24-6e-96-33-24-90
10m         Warning   FailedScheduling        pod/loki-index-gateway-0                             0/3 nodes are available: pod has unbound immediate PersistentVolumeClaims. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
10m         Normal    Scheduled               pod/loki-distributor-6d456f7877-lmqdq                Successfully assigned netobserv/loki-distributor-6d456f7877-lmqdq to ec-f4-bb-ed-07-a8
10m         Warning   FailedScheduling        pod/loki-index-gateway-0                             0/3 nodes are available: pod has unbound immediate PersistentVolumeClaims. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
10m         Normal    Scheduled               pod/loki-index-gateway-0                             Successfully assigned netobserv/loki-index-gateway-0 to ec-f4-bb-ed-07-a8
10m         Warning   FailedScheduling        pod/loki-ingester-0                                  0/3 nodes are available: persistentvolumeclaim "wal-loki-ingester-0" not found. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
10m         Warning   FailedScheduling        pod/loki-ingester-0                                  0/3 nodes are available: pod has unbound immediate PersistentVolumeClaims. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
10m         Normal    Scheduled               pod/loki-gateway-7bfcb9fd97-v9ln5                    Successfully assigned netobserv/loki-gateway-7bfcb9fd97-v9ln5 to ec-f4-bb-ed-07-a8
6m28s       Warning   FailedScheduling        pod/flowlogs-pipeline-7zr98                          0/3 nodes are available: 1 Too many pods, 2 node(s) didn't satisfy plugin(s) [NodeAffinity]. preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
6m17s       Warning   FailedScheduling        pod/flowlogs-pipeline-7zr98                          0/3 nodes are available: 1 Too many pods, 2 node(s) didn't satisfy plugin(s) [NodeAffinity]. preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
6m28s       Normal    Scheduled               pod/flowlogs-pipeline-wctvl                          Successfully assigned netobserv/flowlogs-pipeline-wctvl to 24-6e-96-33-24-90
10m         Warning   FailedScheduling        pod/loki-ingester-0                                  0/3 nodes are available: pod has unbound immediate PersistentVolumeClaims. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
10m         Normal    Scheduled               pod/loki-ingester-0                                  Successfully assigned netobserv/loki-ingester-0 to ec-f4-bb-ed-07-a8
3m30s       Normal    Scheduled               pod/netobserv-plugin-6c7d467565-qx66p                Successfully assigned netobserv/netobserv-plugin-6c7d467565-qx66p to 24-6e-96-33-24-90
10m         Normal    Scheduled               pod/loki-gateway-7bfcb9fd97-bl2lp                    Successfully assigned netobserv/loki-gateway-7bfcb9fd97-bl2lp to 24-6e-96-33-24-90
10m         Warning   FailedScheduling        pod/loki-index-gateway-0                             0/3 nodes are available: persistentvolumeclaim "storage-loki-index-gateway-0" not found. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
10m         Normal    Scheduled               pod/loki-querier-5767df7cf4-tnzzk                    Successfully assigned netobserv/loki-querier-5767df7cf4-tnzzk to ec-f4-bb-ed-07-a8
6m28s       Normal    Scheduled               pod/flowlogs-pipeline-7nmpm                          Successfully assigned netobserv/flowlogs-pipeline-7nmpm to ec-f4-bb-ed-07-a8
10m         Normal    Scheduled               pod/loki-query-frontend-6b64bbf4f8-t8zrz             Successfully assigned netobserv/loki-query-frontend-6b64bbf4f8-t8zrz to ec-f4-bb-ed-07-a8
10m         Normal    Scheduled               pod/loki-compactor-0                                 Successfully assigned netobserv/loki-compactor-0 to ec-f4-bb-ed-07-a8
10m         Warning   FailedScheduling        pod/loki-compactor-0                                 0/3 nodes are available: pod has unbound immediate PersistentVolumeClaims. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
10m         Warning   FailedScheduling        pod/loki-compactor-0                                 0/3 nodes are available: persistentvolumeclaim "storage-loki-compactor-0" not found. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
10m         Warning   FailedScheduling        pod/loki-compactor-0                                 0/3 nodes are available: pod has unbound immediate PersistentVolumeClaims. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
10m         Normal    ScalingReplicaSet       deployment/loki-distributor                          Scaled up replica set loki-distributor-6d456f7877 from 0 to 1
10m         Normal    SuccessfulCreate        replicaset/loki-distributor-6d456f7877               Created pod: loki-distributor-6d456f7877-lmqdq
10m         Normal    AddedInterface          pod/loki-distributor-6d456f7877-lmqdq                Add eth0 [10.128.1.57/23] from ovn-kubernetes
10m         Normal    Pulling                 pod/loki-distributor-6d456f7877-lmqdq                Pulling image "registry.redhat.io/openshift-logging/logging-loki-rhel9@sha256:e6993daf1b7287afd67fb348dc9c9cae08955869f95578b95c3eb99fbc4be263"
10m         Normal    NoPods                  poddisruptionbudget/loki-ingester                    No matching pods found
